ID do canal,URL do canal,Título do canal
UCOjD18EJYcsBog4IozkF_7w,http://www.youtube.com/channel/UCOjD18EJYcsBog4IozkF_7w,PyData
UCP5tjEmvPItGyLhmjdwP7Ww,http://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore
UCPDXXXJj9nax0fr0Wfc048g,http://www.youtube.com/channel/UCPDXXXJj9nax0fr0Wfc048g,Dropout
UCPrYKS7TByOIwWvAt3tsV-A,http://www.youtube.com/channel/UCPrYKS7TByOIwWvAt3tsV-A,Arnaldo e Tironi
UCPtkaw_x97yP4WevW7axk0g,http://www.youtube.com/channel/UCPtkaw_x97yP4WevW7axk0g,IMJONEZZ
UCPzA7lZCeFiafe9V9bamISw,http://www.youtube.com/channel/UCPzA7lZCeFiafe9V9bamISw,Cientística & Podcast Naruhodo
UCQP1HmAqFQYoB6DSv0qHJDA,http://www.youtube.com/channel/UCQP1HmAqFQYoB6DSv0qHJDA,Elina Charatsidou
UCR-8OqCp-koLUfT4SIDznIQ,http://www.youtube.com/channel/UCR-8OqCp-koLUfT4SIDznIQ,As Explicações do Pontes
UCR1IuLEqb6UEA_zQ81kwXfg,http://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering
UCRcRAyb5Y4x3HVNKBZ9SMLA,http://www.youtube.com/channel/UCRcRAyb5Y4x3HVNKBZ9SMLA,Mauro Cezar
UCRu4BNG9k_BRUu-aCYJsgHg,http://www.youtube.com/channel/UCRu4BNG9k_BRUu-aCYJsgHg,eXcript
UCSeTSB_vCs_mgwnUQTasFLg,http://www.youtube.com/channel/UCSeTSB_vCs_mgwnUQTasFLg,King of Thieves
UCSrxM1HewGkAlRboE6s60zA,http://www.youtube.com/channel/UCSrxM1HewGkAlRboE6s60zA,Ligados No Futebol
UCSw02T4Mecrr1d1PEXCCaDA,http://www.youtube.com/channel/UCSw02T4Mecrr1d1PEXCCaDA,mrc
UCTTBgWyJl2HrrhQOOc710kA,http://www.youtube.com/channel/UCTTBgWyJl2HrrhQOOc710kA,Julia Silge
UCTXuqtCYxPVEehq6fJY9GkA,http://www.youtube.com/channel/UCTXuqtCYxPVEehq6fJY9GkA,Curso-R
UCUM4-KGZEXC2pk6zRDL9jMQ,http://www.youtube.com/channel/UCUM4-KGZEXC2pk6zRDL9jMQ,MyNews
UCV8e2g4IWQqK71bbzGDEI4Q,http://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
UCVAHiMT4a8Q-Kny0RRe-Gig,http://www.youtube.com/channel/UCVAHiMT4a8Q-Kny0RRe-Gig,Daniel Duncan
UCVhQ2NnY5Rskt6UjCUkJ_DA,http://www.youtube.com/channel/UCVhQ2NnY5Rskt6UjCUkJ_DA,ArjanCodes
UCVqNUy4-FTLMwMKX-krfB6A,http://www.youtube.com/channel/UCVqNUy4-FTLMwMKX-krfB6A,Marco Antonio Villa
UCW9_n8p_Byz-4k8wV1tnUBg,http://www.youtube.com/channel/UCW9_n8p_Byz-4k8wV1tnUBg,Professor Ferretto
UCWJ2lWNubArHWmf3FIHbfcQ,http://www.youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,NBA
UCWpMgGCBlvNEGLPCawvfZ4w,http://www.youtube.com/channel/UCWpMgGCBlvNEGLPCawvfZ4w,Jose Willians Aparecido Vitorio
UCX6b17PVsYBQ0ip5gyeme-Q,http://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse
UCY1kMZp36IQSyNx_9h4mpCg,http://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober
UCYO_jab_esuFRV4b17AJtAw,http://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
UC_Sc87RC_QnXmljlcKJwL9g,http://www.youtube.com/channel/UC_Sc87RC_QnXmljlcKJwL9g,Rafael Oliveira
UC_SvYP0k05UKiJ_2ndB02IA,http://www.youtube.com/channel/UC_SvYP0k05UKiJ_2ndB02IA,blackpenredpen
UCa12brLWzCqnxN0KOyjfmJQ,http://www.youtube.com/channel/UCa12brLWzCqnxN0KOyjfmJQ,Willian Justen
UCb9PdJYYaElE6Uqb1KxhE8w,http://www.youtube.com/channel/UCb9PdJYYaElE6Uqb1KxhE8w,Meetup R São Paulo
